question,ground_truth,redis_key,source,corpus_chunk_index,hybrid_rrf_hit@10,hybrid_rrf_gold_rank_in_topk,hybrid_rrf_retrieved_redis_keys,dense_top10_redis_keys,bm25_top10_redis_keys
氯霉素和烷化抗癌药合用会有什么风险？,氯霉素与烷化抗癌药合用可能相互增加毒性，且氯霉素的血清半衰期会延长。,qwen3:1803,宠医客,1803,1,1,qwen3:1803|qwen3:2458|qwen3:2437|qwen3:2888|qwen3:2110|qwen3:700|qwen3:2770|qwen3:2817|qwen3:2834|qwen3:1424,qwen3:2888|qwen3:700|qwen3:2458|qwen3:2437|qwen3:1803|qwen3:2770|qwen3:2110|qwen3:2817|qwen3:2834|qwen3:1424,qwen3:1803|qwen3:2110|qwen3:2437|qwen3:2458|qwen3:2770|qwen3:2817|qwen3:2834|qwen3:2888|qwen3:700|qwen3:1286
酮康唑与H1受体拮抗剂合用有什么风险？,酮康唑能抑制H1受体拮抗剂（如西沙比利、阿司咪唑、特非拉丁）的代谢，使其血药浓度升高，导致QT间期延长，可能在常用剂量下引发室性心动过速或心室纤颤。,qwen3:1855,开心药狮,1855,1,4,qwen3:887|qwen3:2902|qwen3:1458|qwen3:1855|qwen3:2631|qwen3:2114|qwen3:2644|qwen3:2822|qwen3:2653|qwen3:282,qwen3:887|qwen3:1458|qwen3:2631|qwen3:2902|qwen3:2822|qwen3:282|qwen3:1449|qwen3:2662|qwen3:2151|qwen3:1428,qwen3:887|qwen3:1855|qwen3:2114|qwen3:2644|qwen3:2653|qwen3:2883|qwen3:2893|qwen3:2902|qwen3:1808|qwen3:1346
NOACs与华法林相比有哪些优势？,与华法林相比，NOACs具有起效更快、剂量固定、治疗窗更宽、药物和食物相互作用更少等优点。,qwen3:2860,血管科普新区,2860,1,3,qwen3:2861|qwen3:1773|qwen3:2860|qwen3:2868|qwen3:2869|qwen3:1772|qwen3:2859|qwen3:849|qwen3:2862|qwen3:515,qwen3:2861|qwen3:1773|qwen3:2860|qwen3:2868|qwen3:2869|qwen3:849|qwen3:2862|qwen3:1502|qwen3:2865|qwen3:1504,qwen3:1772|qwen3:1773|qwen3:2861|qwen3:2860|qwen3:2859|qwen3:2868|qwen3:515|qwen3:2869|qwen3:1680|qwen3:317
地高辛与奎尼丁合用时需要注意什么？,地高辛与奎尼丁合用可使其血药浓度提高约一倍，甚至达到中毒浓度，且停用地高辛后其血药浓度仍可能继续上升。两药合用时应酌减地高辛用量1/2～1/3。,qwen3:373,万题库执业药师考试,373,1,9,qwen3:115|qwen3:1463|qwen3:2800|qwen3:2939|qwen3:1680|qwen3:1302|qwen3:381|qwen3:1324|qwen3:373|qwen3:1333,qwen3:2939|qwen3:1302|qwen3:381|qwen3:373|qwen3:1260|qwen3:115|qwen3:2976|qwen3:1463|qwen3:2947|qwen3:2800,qwen3:1680|qwen3:115|qwen3:1324|qwen3:1333|qwen3:1416|qwen3:1463|qwen3:2184|qwen3:264|qwen3:2780|qwen3:2800
PBPK建模软件在药物研发中有哪些具体应用？,PBPK建模软件可用于代替动物实验，选择药物剂量和配方、设计最佳研究方案及确定临床开发优先级；整合药物、制剂和胃肠道生理参数以支持API选择和配方策略；预测人体药动学行为，评估种族、年龄或疾病等因素的影响，指导剂量选择、生物等效性评价及药物相互作用风险评估。,qwen3:1095,凡默谷,1095,1,2,qwen3:1094|qwen3:1095|qwen3:1794|qwen3:1210|qwen3:1083|qwen3:1164|qwen3:1089|qwen3:1120|qwen3:1090|qwen3:1185,qwen3:1094|qwen3:1095|qwen3:1083|qwen3:1794|qwen3:1164|qwen3:1210|qwen3:1090|qwen3:1255|qwen3:3115|qwen3:1160,qwen3:1095|qwen3:1094|qwen3:1794|qwen3:1210|qwen3:1089|qwen3:1120|qwen3:1185|qwen3:1241|qwen3:1119|qwen3:2964
为什么在肝脏移植后使用免疫抑制剂时需要特别注意药物相互作用？,因为免疫抑制剂之间或与其他药物可能存在相互作用，可能导致严重毒性反应或移植物损害；尤其是钙调磷酸酶抑制剂（CNIs）容易发生此类相互作用，因此需监测血药浓度并根据情况调整剂量。,qwen3:3066,首都新肝论坛,3066,1,1,qwen3:3066|qwen3:3067|qwen3:1689|qwen3:2715|qwen3:3068|qwen3:2409|qwen3:738|qwen3:1680|qwen3:736|qwen3:2044,qwen3:3066|qwen3:3067|qwen3:1689|qwen3:3068|qwen3:738|qwen3:736|qwen3:2715|qwen3:633|qwen3:1376|qwen3:2714,qwen3:3066|qwen3:3067|qwen3:1689|qwen3:2409|qwen3:1680|qwen3:2044|qwen3:2715|qwen3:2068|qwen3:2410|qwen3:1312
DTG与二甲双胍联用时需要注意什么？,DTG可能升高二甲双胍的AUC，开始或停止使用DTG时需密切观察，并可能需要调整二甲双胍的用量。,qwen3:1730,多啦小屋HIV视点,1730,1,1,qwen3:1730|qwen3:1729|qwen3:584|qwen3:459|qwen3:1925|qwen3:1924|qwen3:1471|qwen3:588|qwen3:2011|qwen3:1472,qwen3:459|qwen3:1925|qwen3:1730|qwen3:1471|qwen3:2011|qwen3:584|qwen3:1729|qwen3:528|qwen3:463|qwen3:2430,qwen3:1729|qwen3:1730|qwen3:1924|qwen3:588|qwen3:1472|qwen3:630|qwen3:584|qwen3:1927|qwen3:2024|qwen3:2033
服用西咪替丁期间能否同时使用单胺氧化酶抑制剂（MAOI）？,禁止同时服用MAOI；停用MAOI至少14天内不得使用西咪替丁，停用西咪替丁至少7天后才可使用MAOI。,qwen3:794,人卫药学,794,1,3,qwen3:3146|qwen3:793|qwen3:794|qwen3:1387|qwen3:721|qwen3:725|qwen3:710|qwen3:1386|qwen3:2536|qwen3:3151,qwen3:794|qwen3:3146|qwen3:793|qwen3:721|qwen3:710|qwen3:2536|qwen3:3151|qwen3:3149|qwen3:3147|qwen3:3148,qwen3:3146|qwen3:793|qwen3:1387|qwen3:725|qwen3:1386|qwen3:794|qwen3:309|qwen3:1655|qwen3:1838|qwen3:460
CBR-DDI模型是如何推断Rifabutin与Zopiclone之间可能的药物相互作用的？,CBR-DDI模型通过检索与Rifabutin和Zopiclone相似的药物交互机制，推断出Rifabutin可能通过诱导CYP2C9和CYP3A4酶，加速Zopiclone的代谢。该模型基于历史医药案例进行以药物作用机制为基础的逻辑推理。,qwen3:55,DeepTech深科技,55,1,1,qwen3:55|qwen3:54|qwen3:52|qwen3:1793|qwen3:53|qwen3:1099|qwen3:666|qwen3:1795|qwen3:2099|qwen3:1097,qwen3:55|qwen3:54|qwen3:1793|qwen3:52|qwen3:1099|qwen3:1795|qwen3:1097|qwen3:1093|qwen3:1045|qwen3:1102,qwen3:54|qwen3:55|qwen3:53|qwen3:52|qwen3:666|qwen3:2099|qwen3:2066|qwen3:33|qwen3:2188|qwen3:63
该研究中用于预测药物不良相互作用的模型使用了哪些特征？,该模型使用了基因交互作用、适应症、副作用和靶标相似度作为特征。其中靶标相似度和基因相似度分别通过四种聚合函数（最小值、均值、中值和最大值）生成四个评分。,qwen3:74,DrugAI,74,1,9,qwen3:77|qwen3:73|qwen3:223|qwen3:89|qwen3:929|qwen3:1076|qwen3:226|qwen3:137|qwen3:74|qwen3:3096,qwen3:73|qwen3:89|qwen3:1076|qwen3:77|qwen3:74|qwen3:1687|qwen3:1082|qwen3:52|qwen3:223|qwen3:654,qwen3:77|qwen3:929|qwen3:226|qwen3:137|qwen3:3096|qwen3:979|qwen3:223|qwen3:73|qwen3:136|qwen3:3095
阳离子-π相互作用在药物结合中的能量贡献有多大？,乙酰胆碱的阳离子-π相互作用对应于-ΔG°为3.7千卡/摩尔，甘氨酸与其受体结合时该作用贡献为-ΔG°为5.5千卡/摩尔。Glide XP中给予阳离子-π作用1.5千卡/摩尔的能量奖励，而WScore模型仅在形成‘芳香笼’结构时才考虑其贡献。,qwen3:3006,钰沐菡,3006,1,1,qwen3:3006|qwen3:3005|qwen3:3007|qwen3:3004|qwen3:3008|qwen3:2105|qwen3:2104|qwen3:1265|qwen3:2100|qwen3:1266,qwen3:3004|qwen3:3006|qwen3:3005|qwen3:2100|qwen3:2105|qwen3:3007|qwen3:3008|qwen3:1265|qwen3:2104|qwen3:348,qwen3:3006|qwen3:3007|qwen3:3005|qwen3:3008|qwen3:2104|qwen3:1266|qwen3:2105|qwen3:3004|qwen3:2103|qwen3:1265
美国FDA对阿片成瘾治疗药物与苯二氮卓类药物联合使用有何建议？,美国FDA建议阿片成瘾治疗药品丁丙诺啡和美沙酮不应给予正在服用苯二氮卓类或其他中枢神经系统镇静剂的患者。,qwen3:2544,药圈网,2544,1,2,qwen3:2545|qwen3:2544|qwen3:1972|qwen3:303|qwen3:419|qwen3:2546|qwen3:2588|qwen3:2573|qwen3:2759|qwen3:392,qwen3:2545|qwen3:2544|qwen3:1972|qwen3:419|qwen3:2588|qwen3:2759|qwen3:1965|qwen3:1971|qwen3:2072|qwen3:1831,qwen3:2544|qwen3:2545|qwen3:303|qwen3:2546|qwen3:2573|qwen3:392|qwen3:2321|qwen3:2852|qwen3:2096|qwen3:2634
哪些药物在临床试验中可作为OCT2转运体的抑制剂？,雷诺嗪、维拉帕米和奎尼丁在临床试验中可作为OCT2转运体的抑制剂。,qwen3:181,GMP办公室,181,1,3,qwen3:3140|qwen3:934|qwen3:181|qwen3:936|qwen3:178|qwen3:142|qwen3:3137|qwen3:3101|qwen3:182|qwen3:984,qwen3:3140|qwen3:181|qwen3:178|qwen3:3137|qwen3:182|qwen3:3141|qwen3:179|qwen3:3138|qwen3:183|qwen3:3142,qwen3:934|qwen3:936|qwen3:142|qwen3:3101|qwen3:984|qwen3:3102|qwen3:923|qwen3:655|qwen3:1080|qwen3:1059
酮康唑与H1受体拮抗剂合用会有什么风险？,酮康唑能抑制H1受体拮抗剂（如西沙比利、阿司咪唑、特非拉丁）的代谢，使其血药浓度升高，导致QT间期延长，可能引发室性心动过速或心室纤颤。,qwen3:2653,药圈网,2653,0,0,qwen3:887|qwen3:2902|qwen3:1458|qwen3:705|qwen3:2631|qwen3:1855|qwen3:2822|qwen3:2114|qwen3:2644|qwen3:282,qwen3:887|qwen3:1458|qwen3:2631|qwen3:2822|qwen3:2902|qwen3:282|qwen3:1449|qwen3:2662|qwen3:2151|qwen3:1428,qwen3:887|qwen3:705|qwen3:1855|qwen3:2114|qwen3:2644|qwen3:2653|qwen3:2883|qwen3:2893|qwen3:2902|qwen3:1808
他汀治疗血脂达标后可以隔天吃一次吗？,一般不建议隔天服用他汀，应坚持每天一次以维持治疗强度；只有在出现肝脏或肌肉等不良反应时，才可考虑减少剂量或隔天用药，并优选半衰期较长的他汀类药物。,qwen3:326,丁香园心血管时间,326,1,1,qwen3:326|qwen3:325|qwen3:327|qwen3:11|qwen3:328|qwen3:330|qwen3:1820|qwen3:2404|qwen3:324|qwen3:2408,qwen3:326|qwen3:325|qwen3:330|qwen3:327|qwen3:11|qwen3:1820|qwen3:324|qwen3:328|qwen3:2990|qwen3:1630,qwen3:326|qwen3:325|qwen3:327|qwen3:328|qwen3:11|qwen3:2404|qwen3:2408|qwen3:1490|qwen3:1557|qwen3:10
艾考恩丙替片和利匹韦林在使用时分别需要注意哪些药物相互作用？,艾考恩丙替片中的艾维雷韦（EVG）主要由CYP3A代谢，受CYP3A诱导剂或抑制剂影响；其增效剂考比司他（小c）是CYP3A强抑制剂及底物，也是CYP2D6弱抑制剂，与多种经肝代谢药物存在相互作用。利匹韦林（RPV）主要经CYP3A代谢，与CYP3A强诱导剂（如利福平、圣约翰草、卡马西平、苯妥英、地塞米松）合用会降低血药浓度，导致治疗失败和耐药，应避免合用；同时不应与抑酸剂同服，若需用质子泵抑制剂（PPI），应在服用RPV前12小时或后4小时使用。,qwen3:2022,李辉时空,2022,1,2,qwen3:2031|qwen3:2022|qwen3:745|qwen3:501|qwen3:746|qwen3:2056|qwen3:1614|qwen3:2291|qwen3:408|qwen3:2021,qwen3:2031|qwen3:2022|qwen3:745|qwen3:746|qwen3:1614|qwen3:408|qwen3:1638|qwen3:2025|qwen3:2034|qwen3:721,qwen3:2022|qwen3:2031|qwen3:501|qwen3:2056|qwen3:2291|qwen3:2021|qwen3:2030|qwen3:2066|qwen3:2055|qwen3:2290
新药开发中为什么需要进行药物-药物相互作用（DDI）研究？,DDI研究用于证实或发现早期预测的相互作用，验证剂量调整或处方信息更改是否能避免DDI，并最大程度防止药物上市后因合用导致剂量低于有效窗或超出毒性窗。,qwen3:1020,凡默谷,1020,0,0,qwen3:1166|qwen3:3078|qwen3:1076|qwen3:962|qwen3:2362|qwen3:913|qwen3:119|qwen3:30|qwen3:2317|qwen3:936,qwen3:962|qwen3:3078|qwen3:913|qwen3:30|qwen3:1166|qwen3:1076|qwen3:31|qwen3:599|qwen3:1244|qwen3:1793,qwen3:1166|qwen3:2362|qwen3:119|qwen3:2317|qwen3:936|qwen3:2957|qwen3:1076|qwen3:144|qwen3:986|qwen3:3078
使用PBPK模型预测在研药物作为促变药时的酶介导DDI，需要考虑哪些关键要点？,需考虑：①促变药PBPK模型能否准确描述不同给药方案和途径下的临床PK数据；②指针底物模型能否准确反映酶受影响时PK变化，且两药模型应包含相互作用机制；③当抑制与诱导同时存在时，是否分别评估两种机制的作用；④对高度不确定性参数是否进行敏感性分析。,qwen3:952,凡默谷,952,1,1,qwen3:952|qwen3:999|qwen3:157|qwen3:3116|qwen3:951|qwen3:3117|qwen3:158|qwen3:1085|qwen3:929|qwen3:1090,qwen3:999|qwen3:952|qwen3:3116|qwen3:157|qwen3:1085|qwen3:951|qwen3:1090|qwen3:3117|qwen3:158|qwen3:1000,qwen3:952|qwen3:157|qwen3:3116|qwen3:999|qwen3:951|qwen3:929|qwen3:1225|qwen3:919|qwen3:158|qwen3:3117
